,job_name,company,country,location,min_salary,max_salary,description,posted_date,work_type,tags,score,matched,source
655,"Software Engineer, Machine Learning Infrastructure",Stripe,Canada,"Toronto, Ontario",1.0,1.0,"Who we are About Stripe Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world’s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone’s reach while doing the most important …",2026-07-26T17:44:01Z,unknown,engineering-jobs,5,"(('job_title', ('machine learning',)),)",adzuna
656,Machine Learning Operations & Support (MLOPs),J M Group Inc,Canada,"Calgary, Calgary region",0.0,0.0,"- Provide end-to-end operational support for Machine Learning (ML) workloads across Azure and Databricks, ensuring availability, scalability, and reliability of the Machine Learning (ML) pipelines and infrastructure. - Manage and monitor Azure ML services, Databricks clusters, and underlying cloud infrastructure, responding to incidents and performance degradation. - Support deployment and versioning of Machine Learning (ML) models using CI/CD pipelines, MLflow, Azure DevOps, and containerized …",2026-08-31T14:08:37Z,unknown,it-jobs,6,"(('description', ('machine learning',)), ('job_title', ('machine learning',)))",adzuna
657,Applied AI Engineer,Nexxa.AI,Canada,"Toronto, Ontario",0.0,0.0,"Nexxa.ai is building artificial super intelligence for heavy industries — enabling machines, systems and operations to think, decide and act autonomously across manufacturing, large-scale infrastructure, logistics and legacy environments. Our mission is to translate deep technical breakthroughs into operational reality, solving some of the hardest systems-level problems in industry. Role Overview We’re looking for a Applied AI Engineers to work as forward deployed directly with customers lead t…",2026-01-09T13:52:53Z,unknown,it-jobs,6,"(('description', ('ai engineer',)), ('job_title', ('ai engineer',)))",adzuna
658,Senior AI Engineer,ShyftLabs,Canada,"Toronto, Ontario",120000.0,160000.0,"About ShyftLabs At ShyftLabs, we live and breathe data. Since 2020, we've been helping Fortune 500 companies unlock growth with cutting-edge digital solutions that transform industries and create measurable business impact. We're scaling globally with entities in Canada, the U.S., and India and we're looking for passionate problem-solvers who are ready to turn big ideas into real outcomes. The Opportunity ShyftLabs is looking for a Senior AI Engineer to sit at the intersection of AI/ML engineer…",2026-04-23T16:32:03Z,unknown,it-jobs,7,"(('description', ('ml engineer', 'ai engineer')), ('job_title', ('ai engineer',)))",adzuna
659,"Director, ML Research",kadence,Canada,Canada,0.0,0.0,"Kadence Talent is partnering with an independent, well-funded AI research organization to appoint a Director of Machine Learning in Montreal. The organization is building a new research and engineering team around an ambitious long-term technical agenda. This is an opportunity to join at a formative stage, help shape how the team operates and contribute to work intended to advance the reliability and capabilities of future AI systems. The Director will lead a multidisciplinary group of research…",2026-07-25T12:58:29Z,unknown,engineering-jobs,1,"(('description', ('machine learning',)),)",adzuna
660,Staff Machine Learning Engineer - Edge AI,Samsara,Canada,Canada,170400.0,170400.0,"Who we are Samsara (NYSE: IOT) is the pioneer of the Connected Operations™ Cloud, which is a platform that enables organizations that depend on physical operations to harness Internet of Things (IoT) data to develop actionable insights and improve their operations. At Samsara, we are helping improve the safety, efficiency and sustainability of the physical operations that power our global economy. Representing more than 40% of global GDP, these industries are the infrastructure of our planet, i…",2026-04-11T16:35:35Z,unknown,engineering-jobs,5,"(('job_title', ('machine learning',)),)",adzuna
661,Sr. Machine Learning Engineer (Canada - Remote),Hyatt,Canada,Canada,0.0,0.0,"Description: The Opportunity Hyatt Hotels Corporation seeks an enthusiastic Senior ML Engineer to join our Data Science and Machine Learning department. In this role, you will be collaborating closely with the broader Data and Analytics team, where you'll be instrumental in continuing to make Hyatt a leading hospitality company. You will be part of a team that is passionate about our purpose, committed to nurturing curiosity and new skills, and building connections across the organization with …",2026-08-13T02:48:06Z,remote,it-jobs,7,"(('description', ('machine learning', 'ml engineer')), ('job_title', ('machine learning',)))",adzuna
662,"Senior Manager, Machine Learning (Data Operations)",Coalition,Canada,Canada,123100.0,123100.0,"About us Coalition is the world's first Active Insurance provider designed to help prevent digital risk before it strikes. Founded in 2017, Coalition combines comprehensive insurance coverage and innovative cybersecurity tools to help businesses manage and mitigate potential cyberattacks. Opportunities to make an impact with bold thinking are real—and happening daily at Coalition. About the role Coalition's machine learning models are only as good as the data they're trained on. This role exist…",2026-07-19T17:43:44Z,unknown,it-jobs,6,"(('description', ('machine learning',)), ('job_title', ('machine learning',)))",adzuna
663,ML Engineer,Kogan.com,Australia,"Melbourne Region, Victoria",0.0,0.0,"Kogan.com is a pioneer of Australian eCommerce, and the software we build is used by millions of customers every day. You'll join a fast-moving engineering team with real ownership, shipping to production daily and using AI as part of how we work. As a Data Engineer you'll design and run the data and ML pipelines that let teams across Marketing, Purchasing, Logistics and Finance make confident, data-driven decisions. What you'll do: Machine Learning Development: Design, build and deploy machine…",2026-06-23T10:54:09Z,unknown,it-jobs,7,"(('description', ('machine learning', 'data engineer')), ('job_title', ('ml engineer',)))",adzuna
664,ML Engineer,Kogan.com,Australia,"South Melbourne, Port Phillip",0.0,0.0,"Kogan.com is a pioneer of Australian eCommerce, and the software we build is used by millions of customers every day. You'll join a fast-moving engineering team with real ownership, shipping to production daily and using AI as part of how we work. As a Data Engineer you'll design and run the data and ML pipelines that let teams across Marketing, Purchasing, Logistics and Finance make confident, data-driven decisions. What you'll do: Machine Learning Development: Design, build and deploy machine…",2026-09-04T15:54:17Z,unknown,it-jobs,7,"(('description', ('machine learning', 'data engineer')), ('job_title', ('ml engineer',)))",adzuna
